agent_name,agent_category,initial_cash,k_value,risk_aversion,max_position_fraction,signal_threshold,max_short_fraction
retail_0,Retail,6824,0.5087537643279334,0.5100117273476478,0.7,0.02165183892776766,0.0
retail_1,Retail,6679,0.7368448205980189,0.7568718270819382,0.7,0.02369591751055876,0.0
retail_2,Retail,5520,0.5104290268033246,0.4874551899214414,0.7,0.017419670678449566,0.0
retail_3,Retail,14195,0.5695931777403269,0.6599537751118093,0.7,0.01682587779095175,0.0
retail_4,Retail,12359,0.706242989356568,0.7237721826711307,0.7,0.024902518604829085,0.0
retail_5,Retail,11924,0.6190876807812972,0.46219179992471265,0.7,0.010641803916898283,0.0
retail_6,Retail,6674,0.5324610451830518,0.43868655073338564,0.7,0.012287584504788104,0.0
retail_7,Retail,9333,0.782494895646033,0.6918927146775271,0.7,0.016956578628179488,0.0
retail_8,Retail,6291,0.6932142209456295,0.7317618657011979,0.7,0.01572220371453631,0.0
retail_9,Retail,14459,0.567301006589831,0.42782205952949637,0.7,0.015081050221484349,0.0
retail_10,Retail,6307,0.7993612023553014,0.7465934667021079,0.7,0.01929810662441251,0.0
retail_11,Retail,10977,0.5569289340046297,0.5421082800910086,0.7,0.014947372384334601,0.0
retail_12,Retail,6169,0.7131958519834458,0.4684554592792388,0.7,0.014063098030744762,0.0
retail_13,Retail,12573,0.6328094046151767,0.7958093402546381,0.7,0.015400003602188609,0.0
retail_14,Retail,8598,0.7396149878464561,0.7371407680759239,0.7,0.013360001326806328,0.0
retail_15,Retail,5525,0.781766030269925,0.5604659148089316,0.7,0.024007170921826793,0.0
retail_16,Retail,10155,0.5744192904189492,0.599692503796911,0.7,0.011729752691699463,0.0
retail_17,Retail,12517,0.5500050566547219,0.45585212781020257,0.7,0.013825165268625901,0.0
retail_18,Retail,9304,0.7614548340782903,0.5713735309178319,0.7,0.016247006125815158,0.0
retail_19,Retail,8593,0.8490640222962063,0.45533269795634235,0.7,0.017597262476655537,0.0
retail_20,Retail,6796,0.5534944617718913,0.46399280068898013,0.7,0.014792781797555095,0.0
retail_21,Retail,6040,0.634668559086075,0.6383553713444513,0.7,0.017979251683229842,0.0
retail_22,Retail,14064,0.8012728957820743,0.4045924087771279,0.7,0.01418917270959708,0.0
retail_23,Retail,13797,0.7628072298570634,0.7074394930629784,0.7,0.01989736790453432,0.0
retail_24,Retail,12123,0.5553552140206344,0.40129812644069174,0.7,0.014168619080351339,0.0
retail_25,Retail,9315,0.8401608346045399,0.7047848796208259,0.7,0.017384774880935122,0.0
retail_26,Retail,9889,0.7945842718603635,0.6030651527910538,0.7,0.022016333473529007,0.0
retail_27,Retail,7646,0.688782660541869,0.7114505914522233,0.7,0.01704469491707234,0.0
retail_28,Retail,14813,0.6134546199516355,0.40779069695433295,0.7,0.011063520756030744,0.0
retail_29,Retail,8923,0.5202738082729657,0.7512038396816163,0.7,0.01079575832053009,0.0
retail_30,Retail,12962,0.7856081386970309,0.7911937974709338,0.7,0.017009407457057264,0.0
retail_31,Retail,7103,0.7309127879615785,0.7787394718819964,0.7,0.022523095615388088,0.0
retail_32,Retail,14938,0.6480982790703104,0.48471928217683286,0.7,0.016910558668308123,0.0
retail_33,Retail,8295,0.7495321404866926,0.5595969199989717,0.7,0.014924695605425755,0.0
retail_34,Retail,12177,0.8148649296250309,0.5805944565564519,0.7,0.021281415795009882,0.0
retail_35,Retail,10539,0.5073619910024706,0.6215686089697919,0.7,0.016173398283844734,0.0
retail_36,Retail,6163,0.7477443312919589,0.4235495067505294,0.7,0.02398899507834539,0.0
retail_37,Retail,10413,0.5248000724610287,0.4952018537475981,0.7,0.014965333325555791,0.0
retail_38,Retail,13834,0.5463091470537588,0.7742056962322684,0.7,0.016434353600120733,0.0
retail_39,Retail,8981,0.7746167985017637,0.7229987991066574,0.7,0.022143851284571837,0.0
retail_40,Retail,12062,0.6240041483063439,0.5644409104198953,0.7,0.012042448774455951,0.0
retail_41,Retail,6612,0.5212144359269548,0.691285435376473,0.7,0.012991112337074518,0.0
retail_42,Retail,9073,0.567056525249579,0.6145143015641378,0.7,0.022897265543578384,0.0
retail_43,Retail,9563,0.6619198239403385,0.749794381628232,0.7,0.023869226674385662,0.0
retail_44,Retail,6604,0.5177059153337085,0.7997129873650907,0.7,0.012459586223800723,0.0
retail_45,Retail,8872,0.5582088887113699,0.5942564501802874,0.7,0.021793790512012277,0.0
retail_46,Retail,5960,0.5576229924905344,0.40086215134057057,0.7,0.019143673636182804,0.0
retail_47,Retail,9673,0.6480526200965571,0.7829270563438693,0.7,0.010068659657609292,0.0
retail_48,Retail,12973,0.5541788888459225,0.5186831301978257,0.7,0.010469359525462617,0.0
retail_49,Retail,13883,0.5213351500167805,0.5254419239078918,0.7,0.024247864941040698,0.0
contrarian_0,ContrarianAgent,23238,0.933877426166415,0.6952319879258518,0.25,0.033412774783721066,0.25
contrarian_1,ContrarianAgent,18044,0.7637042665407585,0.3941745611942422,0.25,0.08170915211820776,0.25
contrarian_2,ContrarianAgent,16964,0.9383192254458178,0.7202890165898201,0.25,0.06473514345043263,0.25
contrarian_3,ContrarianAgent,16343,0.8338449830671745,0.729386988039296,0.25,0.06136696293191753,0.25
contrarian_4,ContrarianAgent,18346,0.8839451949539658,0.5542195108171244,0.25,0.04593687075188123,0.25
contrarian_5,ContrarianAgent,19915,0.8414449145140904,0.9538619156085842,0.25,0.08614405724668939,0.25
contrarian_6,ContrarianAgent,22508,0.8742318510986186,0.7159458696653149,0.25,0.03599887493547531,0.25
contrarian_7,ContrarianAgent,23288,0.8030400829500802,0.9566185956959109,0.25,0.08285185042118637,0.25
contrarian_8,ContrarianAgent,21054,0.8069974782433313,0.6348199724550114,0.25,0.0625930777356952,0.25
contrarian_9,ContrarianAgent,23666,0.7515646214304316,0.8811176878250501,0.25,0.047962725131998674,0.25
contrarian_10,ContrarianAgent,17200,0.8028931842974255,0.9283132595537109,0.25,0.07454500103885991,0.25
contrarian_11,ContrarianAgent,19462,0.8063512542915788,0.48690927562451297,0.25,0.05057281726759552,0.25
contrarian_12,ContrarianAgent,23280,0.8477063704298753,0.93846871920156,0.25,0.08076622279769133,0.25
contrarian_13,ContrarianAgent,21939,0.9158696178744439,0.3786563951693825,0.25,0.05001339231630529,0.25
contrarian_14,ContrarianAgent,19291,0.7823163952547773,0.6371930827095529,0.25,0.07234004680559944,0.25
institutional_0,Institutional,408654,0.7650487720147534,0.3766212786600286,0.15,0.14423571429359358,0.15
institutional_1,Institutional,636046,0.7572056276121661,0.27384319690243836,0.15,0.12315150580469986,0.15
institutional_2,Institutional,575332,0.7754891038564278,0.26165166998602674,0.15,0.1439388893245554,0.15
